todayNumber,lifePathNumber,character,messageType,variant,season,colorName,body,action1,action2,notes
2,6,owl,base,A,summer,ピンク,ひまわりに光が集まるように、あなたの優しさがよりあたたかく巡っていきそうです。誰かを思う気持ちと同じくらい、自分もいたわってください。,自分にも優しい言葉をかける,誰かへの気づかいを小さく届ける,UD2×LP6×owl summer A
2,7,owl,base,A,summer,紺・藍色,夕立のあとの静けさが、あなたの深く見つめる力にやさしい対話を運んでくれそうです。考えを閉じ込めず、信頼できる人に少し話してみてください。,考えていることを一言だけ話す,心に残った会話をメモする,UD2×LP7×owl summer A
2,8,owl,base,A,summer,オレンジ・茶色,入道雲が広がるように、あなたの進める力に人との調和が添えられていきそうです。ひとりで形にしようとせず、協力できる流れを探してみてください。,相談したいことをひとつ整理する,協力してもらえることを考える,UD2×LP8×owl summer A
2,9,owl,base,A,summer,紫,夏の夕空のように、あなたの広く受けとめる力をやさしく整えてくれそうです。全部を抱えず、今つながりたい相手をひとり選んでみてください。,気になる人へ短く連絡する,抱えている思いをひとつ書く,UD2×LP9×owl summer A
2,11,owl,base,A,summer,シルバー,蛍のひかりのように、あなたの繊細なひらめきにやさしい受け皿が生まれそうです。感じたことを急いで答えにせず、そっと受けとめてみてください。,感じたことを短くメモする,静かな相手と少し話してみる,UD2×LP11×owl summer A
2,22,owl,base,A,summer,ゴールド,青空にのびる雲のように、あなたの形づくる力に人との協力が運ばれてきそうです。大きな構想も、誰かと分け合うことで進みやすくなります。,相談したい相手を書き出す,役割や手順をひとつ分けてみる,UD2×LP22×owl summer A
2,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い優しさに心地よい距離が見えてきそうです。包み込む前に、自分の気持ちも静かに聞いてあげてください。,自分の本音を一行だけ書く,無理なく関われる距離を選ぶ,UD2×LP33×owl summer A
3,1,owl,base,A,summer,赤,夏の青空のように、あなたの始める力に明るい言葉が広がっていきそうです。思いついたことを、まずは小さく外に出してみてください。,やってみたいことを一言で書く,小さな発信をひとつしてみる,UD3×LP1×owl summer A
3,2,owl,base,A,summer,白,風鈴の音のように、あなたのやさしい気持ちを言葉にしやすくしてくれそうです。相手に合わせるだけでなく、自分の思いも少し伝えてみてください。,ありがとうを短く伝える,感じたことをやさしく言葉にする,UD3×LP2×owl summer A
3,3,owl,base,A,summer,黄色,蝉の声に背中を押されるように、あなたの表現する力が自然にひらいていきそうです。うまくまとめなくても、心が動いたことを残してみてください。,心に浮かんだ言葉を残す,楽しかったことをひとつ書く,UD3×LP3×owl summer A
3,4,owl,base,A,summer,緑,ひまわりが空を向くように、毎日の中に小さな楽しさが見つかりそうです。整えるだけでなく、心が軽くなることもひとつ入れてみてください。,予定の中に楽しみをひとつ入れる,今日よかったことを一行書く,UD3×LP4×owl summer A
3,5,owl,base,A,summer,青,夏の海風が、あなたの自由な感覚を軽やかに表へ運んでくれそうです。いつもより少し、楽しい方を選んでみてください。,気になる場所へ少し寄ってみる,楽しいと思う選択をひとつする,UD3×LP5×owl summer A
3,6,owl,base,A,summer,ピンク,朝顔がやわらかくひらくように、あなたの優しさがあたたかい言葉に変わっていきそうです。誰かへのひとことと同じくらい、自分にも明るい言葉を向けてください。,自分をほめる言葉をひとつ書く,身近な人にやさしい一言を送る,UD3×LP6×owl summer A
3,7,owl,base,A,summer,紺・藍色,木陰の涼しさが、あなたの深い気づきを言葉にする手助けをしてくれそうです。考えたことを、まだ途中のままでも残してみてください。,考え中のことを一行だけ書く,心に残った言葉を調べてみる,UD3×LP7×owl summer A
3,8,owl,base,A,summer,オレンジ・茶色,入道雲のように、あなたの形にする力に表現の明るさが加わっていきそうです。進めたいことを、まずは言葉にして外へ出してみてください。,やりたいことを短く宣言する,進めたい内容をメモにまとめる,UD3×LP8×owl summer A
3,9,owl,base,A,summer,紫,夏の夕風が、あなたの広い心にやわらかな表現を運んでくれそうです。抱えていた思いを、少し軽い言葉にしてみてください。,心に残ったことを短く書く,重い気持ちを一言だけ外に出す,UD3×LP9×owl summer A
3,11,owl,base,A,summer,シルバー,蛍のひかりのように、あなたのひらめきが言葉や表現になりやすくなりそうです。ふと浮かんだことを、消える前に残してみてください。,ひらめきをすぐメモする,浮かんだイメージを言葉にする,UD3×LP11×owl summer A
3,22,owl,base,A,summer,ゴールド,青空にのびる雲のように、あなたの形づくる力に伝える力が添えられそうです。大きな構想も、まずはわかりやすい言葉にしてみてください。,考えていることを短く説明する,伝えたい相手をひとり決める,UD3×LP22×owl summer A
3,33,owl,base,A,summer,レインボー,夏の夕焼けのように、あなたの深い優しさがあたたかい表現へ導かれていきそうです。誰かを包む言葉と同じくらい、自分にもやさしい言葉を残してください。,自分へのやさしい言葉を書く,大切な人へ短い言葉を届ける,UD3×LP33×owl summer A
4,1,owl,base,A,summer,赤,夏の朝の風が、あなたの始める力に安心できる土台を添えてくれそうです。勢いだけで進まず、最初の一歩を少し整えてみてください。,始めたいことの手順をひとつ書く,今日やることをひとつ決める,UD4×LP1×owl summer A
4,2,owl,base,A,summer,白,木陰の涼しさのように、あなたの繋がる力に安心できる距離感が生まれそうです。誰かに合わせすぎず、無理なく続く関わり方を選んでみてください。,連絡したい相手をひとり選ぶ,無理のない予定に整える,UD4×LP2×owl summer A
4,3,owl,base,A,summer,黄色,朝顔が咲くように、あなたの表現する力が毎日の中に残りやすくなりそうです。ひらめいたことを、忘れない形にしてみてください。,浮かんだ言葉をノートに残す,書きかけのものを少し整える,UD4×LP3×owl summer A
4,4,owl,base,A,summer,緑,夏草が静かに伸びるように、あなたのつみ重ねる力がやさしく支えられていきそうです。完璧を目指さなくても、ひとつ整えば十分です。,机や予定を一か所だけ整える,続けたいことを小さく見直す,UD4×LP4×owl summer A
4,5,owl,base,A,summer,青,夏の空に道がひらけるように、あなたの自由な動きに安心できる足場ができそうです。思いつきも、少し整えると進みやすくなります。,予定に小さな余白を作る,やりたいことを順番に並べる,UD4×LP5×owl summer A
4,6,owl,base,A,summer,ピンク,風鈴の音がやさしく響くように、あなたの優しさが無理なく続く形に整っていきそうです。誰かのための予定にも、自分の安心を入れてください。,引き受けていることをひとつ見直す,自分の休む時間を先に決める,UD4×LP6×owl summer A
4,7,owl,base,A,summer,紺・藍色,夕立のあとの静けさが、あなたの深める力に落ち着いた土台をくれそうです。考えていることを、少し整理して見える形にしてみてください。,気になっていることを分類する,考えたことを短くまとめる,UD4×LP7×owl summer A
4,8,owl,base,A,summer,オレンジ・茶色,入道雲がゆっくり形を作るように、あなたの形にする力が安定した流れへ整っていきそうです。大きく進めるより、確かな手順をひとつ選んでみてください。,優先順位を3つにしぼる,進めたいことの準備を整える,UD4×LP8×owl summer A
4,9,owl,base,A,summer,紫,夏の夕空が少しずつ色を変えるように、あなたの広く受けとめる力に小さな区切りができそうです。全部を抱えず、今の自分に必要な形へ整えてみてください。,抱えていることをひとつ整理する,残すものと休めるものを分ける,UD4×LP9×owl summer A
4,11,owl,base,A,summer,シルバー,蛍のひかりをそっと置くように、あなたのひらめきが安心して置ける場所へ導かれそうです。感じたことを、消えないように小さく残してみてください。,ひらめきをメモにまとめる,静かな場所で予定を整える,UD4×LP11×owl summer A
4,22,owl,base,A,summer,ゴールド,青空に浮かぶ雲の輪郭のように、あなたの形づくる力に確かな手順が見えてきそうです。大きな構想も、今日できるひとつの準備から始まります。,構想を小さな手順に分ける,最初に整える場所を決める,UD4×LP22×owl summer A
4,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い優しさに安心できる形が生まれそうです。大切にしたい人と同じように、自分の毎日も整えてください。,自分の安心を先に用意する,続けられる優しさをひとつ選ぶ,UD4×LP33×owl summer A
5,1,owl,base,A,summer,赤,夏の風が、あなたの始める力に新しいきっかけを運んでくれそうです。いつもと少し違う一歩を、軽く試してみてください。,気になることを軽く試してみる,いつもと違う順番で動いてみる,UD5×LP1×owl summer A
5,2,owl,base,A,summer,白,木陰を抜ける風のように、あなたの繋がる力に心地よい自由が添えられそうです。誰かに合わせすぎず、自分のペースも大切にしてみてください。,ひとり時間を少し用意する,無理のない返事を選んでみる,UD5×LP2×owl summer A
5,3,owl,base,A,summer,黄色,夏の青空のように、あなたの表現する力が軽やかに広がっていきそうです。思いついたことを、いつもより自由に出してみてください。,浮かんだ言葉をそのまま書く,楽しい方をひとつ選んでみる,UD5×LP3×owl summer A
5,4,owl,base,A,summer,緑,夏の風が通るように、あなたの毎日に小さな風通しが生まれそうです。いつもの流れを少し変えるだけで、気持ちが軽くなるかもしれません。,予定の順番を少し変えてみる,習慣に小さな楽しみを足す,UD5×LP4×owl summer A
5,5,owl,base,A,summer,青,海風に誘われるように、あなたの自由な感覚がのびやかに動き出しそうです。無理に決め込まず、心が向く方へ少し進んでみてください。,行きたい場所をひとつ選ぶ,気分に合う予定へ整える,UD5×LP5×owl summer A
5,6,owl,base,A,summer,ピンク,風鈴の音のように、あなたの優しさに軽やかな余白が生まれそうです。誰かを大切にする時間と、自分の自由も両方置いてみてください。,ひとりでほっとする時間を取る,予定を詰め込みすぎない,UD5×LP6×owl summer A
5,7,owl,base,A,summer,紺・藍色,夏雲が流れるように、あなたの深める力に新しい視点が運ばれてきそうです。いつもと違う角度から見ることで、気づきが広がるかもしれません。,違う方法で調べてみる,気になる場所を少し変える,UD5×LP7×owl summer A
5,8,owl,base,A,summer,オレンジ・茶色,夕立のあとの風のように、あなたの進める力に柔らかな動きが添えられそうです。予定どおりにこだわりすぎず、動きながら整えてみてください。,進め方をひとつ変えてみる,予定に余白を入れて動く,UD5×LP8×owl summer A
5,9,owl,base,A,summer,紫,夏の夕風が、あなたの広いまなざしに新しい風を通してくれそうです。抱えていた思いを、少し違う見方で受けとめてみてください。,気持ちを別の言葉で書いてみる,一度外の空気に触れてみる,UD5×LP9×owl summer A
5,11,owl,base,A,summer,シルバー,蛍のひかりが揺れるように、あなたのひらめきが自由に広がっていきそうです。ふと浮かんだ感覚を、決めつけずに泳がせてみてください。,ひらめきをいくつか書き出す,音や景色を変えて過ごす,UD5×LP11×owl summer A
5,22,owl,base,A,summer,ゴールド,入道雲が形を変えるように、あなたの形づくる力に新しい選択肢が見えてきそうです。大きな構想も、少し風を通すと動きやすくなります。,別の進め方をひとつ考える,構想に余白を入れて見直す,UD5×LP22×owl summer A
5,33,owl,base,A,summer,レインボー,夏の涼風が、あなたの深い優しさに自由な呼吸を思い出させてくれそうです。誰かを包む前に、自分の心にも風を通してあげてください。,自分の自由時間を先に決める,心が軽くなる選択をひとつする,UD5×LP33×owl summer A
6,1,owl,base,A,summer,赤,夏の朝の光が、あなたの始める力にあたたかい目的を添えてくれそうです。自分にも誰かにも優しい一歩を選んでみてください。,自分に優しい目標をひとつ決める,大切な人へ短い言葉を届ける,UD6×LP1×owl summer A
6,2,owl,base,A,summer,白,木陰の涼しさのように、あなたの繋がる力をあたたかく包んでくれそうです。相手を思う気持ちと同じくらい、自分の心も大切にしてください。,無理のない関わり方を選ぶ,自分の気持ちを一行だけ書く,UD6×LP2×owl summer A
6,3,owl,base,A,summer,黄色,風鈴の音のように、あなたの言葉にやさしい温度が添えられそうです。明るく振る舞うより、心から出たひとことを大切にしてみてください。,自分をほめる言葉を書く,誰かにあたたかい一言を送る,UD6×LP3×owl summer A
6,4,owl,base,A,summer,緑,夏の夕涼みのように、毎日のつみ重ねにやさしい安心が足されそうです。整えることの中に、自分を休ませる時間も入れてみてください。,休む時間を先に予定へ入れる,暮らしの中を一か所だけ整える,UD6×LP4×owl summer A
6,5,owl,base,A,summer,青,夏の木漏れ日が、あなたの自由な感覚にあたたかい居場所をくれそうです。動きたい気持ちと、安心できる場所の両方を大切にしてみてください。,安心できる場所で少し休む,心が軽くなる予定をひとつ選ぶ,UD6×LP5×owl summer A
6,6,owl,base,A,summer,ピンク,ひまわりに光がめぐるように、あなたの優しさが自然にめぐっていきそうです。誰かを大切にする前に、自分にも同じ優しさを向けてください。,自分に小さなごほうびを用意する,引き受けすぎていることを見直す,UD6×LP6×owl summer A
6,7,owl,base,A,summer,紺・藍色,夏の静かな木陰が、あなたの深める力に心をあたためる気づきを運んでくれそうです。考えるだけでなく、自分をいたわる時間も持ってみてください。,心が落ち着く場所で過ごす,気づいたことをやさしく書く,UD6×LP7×owl summer A
6,8,owl,base,A,summer,オレンジ・茶色,入道雲の下の光のように、あなたの形にする力にやさしい目的が見えてきそうです。成果だけでなく、誰かや自分が安心できる形を選んでみてください。,進めたいことの目的を見直す,自分を休ませる時間を決める,UD6×LP8×owl summer A
6,9,owl,base,A,summer,紫,夏の夕風のように、あなたの広く受けとめる力にあたたかい境界線が生まれそうです。すべてを抱えず、自分の心が休まる形を選んでください。,抱えていることをひとつ軽くする,自分に優しい選択を書き出す,UD6×LP9×owl summer A
6,11,owl,base,A,summer,シルバー,蛍のひかりのように、あなたの繊細なひらめきにやさしい居場所ができそうです。感じたことを急いで形にせず、まずは静かに受けとめてみてください。,感じたことを短くメモする,音や情報を少し減らす,UD6×LP11×owl summer A
6,22,owl,base,A,summer,ゴールド,青空に広がる雲のように、あなたの形づくる力に人を思うあたたかさが添えられそうです。大きな構想にも、自分が無理なく続けられる優しさを入れてください。,構想に休む余白を入れる,誰の安心につながるか考える,UD6×LP22×owl summer A
6,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い愛がやさしくめぐっていきそうです。包み込む力がある日ほど、自分の心にも居場所を作ってください。,自分を満たす時間を先に取る,優しさを向ける範囲を決める,UD6×LP33×owl summer A
7,1,owl,base,A,summer,赤,夏の木陰の静けさが、あなたの始める力に深く考える時間をくれそうです。すぐに動かなくても、なぜ始めたいのかを見つめてみてください。,始めたい理由を一行で書く,気になることを少し調べてみる,UD7×LP1×owl summer A
7,2,owl,base,A,summer,白,夕立のあとの空気のように、あなたの繋がる力に静かな気づきが運ばれてきそうです。誰かの気持ちだけでなく、自分の本音にも耳を向けてみてください。,自分の本音を一行だけ書く,心に残った会話を振り返る,UD7×LP2×owl summer A
7,3,owl,base,A,summer,黄色,夏の夜風のように、あなたの表現する力に静かな深みが添えられそうです。明るく見せるより、心に残ったことを丁寧に言葉にしてみてください。,心に残った言葉を書き出す,感じた理由を少し考えてみる,UD7×LP3×owl summer A
7,4,owl,base,A,summer,緑,夏草の根が静かに伸びるように、あなたのつみ重ねる力に見直しの時間が訪れそうです。いつもの習慣の中に、今の自分に合う形を探してみてください。,続けていることをひとつ見直す,今の自分に合う形を考える,UD7×LP4×owl summer A
7,5,owl,base,A,summer,青,夏雲が流れるように、あなたの自由な感覚に静かな問いが浮かびそうです。動き回る前に、心が本当に向かう場所を見つめてみてください。,行きたい理由を少し考える,情報を減らして過ごす時間を作る,UD7×LP5×owl summer A
7,6,owl,base,A,summer,ピンク,風鈴の余韻のように、あなたの優しさに深い気づきが運ばれてきそうです。誰かを思う気持ちの奥にある、自分の願いにも目を向けてみてください。,自分の願いを一行だけ書く,静かに休める時間を取る,UD7×LP6×owl summer A
7,7,owl,base,A,summer,紺・藍色,夏の静かな月あかりが、あなたの深める力をそっと支えてくれそうです。答えを急がず、気になっていることを丁寧に見つめてみてください。,気になることを少し調べる,考えたことを短くまとめる,UD7×LP7×owl summer A
7,8,owl,base,A,summer,オレンジ・茶色,入道雲の影のように、あなたの進める力に立ち止まる知恵が添えられそうです。動く前に、本当に大切にしたい目的を見直してみてください。,進めたい理由を見直す,大切な目的を一行で書く,UD7×LP8×owl summer A
7,9,owl,base,A,summer,紫,夏の夕暮れの静けさが、あなたの広く受けとめる力に整理の時間をくれそうです。抱えていた思いを、急がず少しずつ見つめてみてください。,心に残ることを一つ書く,抱えている思いを少し整理する,UD7×LP9×owl summer A
7,11,owl,base,A,summer,シルバー,蛍のひかりのように、あなたのひらめきに深く向き合う時間が灯りそうです。ふと感じたことを流さず、静かにたどってみてください。,浮かんだ感覚をメモする,静かな場所で少し考える,UD7×LP11×owl summer A
7,22,owl,base,A,summer,ゴールド,青空の奥行きのように、あなたの形づくる力に本質を見つめる時間が広がりそうです。大きな構想ほど、なぜ形にしたいのかを確かめてみてください。,構想の目的を一行で書く,本当に大切な部分を見直す,UD7×LP22×owl summer A
7,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い愛に静かな気づきが運ばれてきそうです。誰かを包む前に、自分の心の奥にもそっと目を向けてください。,自分の心の声を一行書く,静かに休める時間を作る,UD7×LP33×owl summer A
8,1,owl,base,A,summer,赤,夏の光が道を照らすように、あなたの始める力が現実の一歩へつながりそうです。大きく進めなくても、まずはひとつ形にしてみてください。,気になっていたことをひとつ始める,今日の目標を短く書いてみる,UD8×LP1×owl summer A
8,2,owl,base,A,summer,白,木陰の涼しさのように、あなたの繋がる力が安心できる形へ整っていきそうです。無理に合わせすぎず、心地よい関わり方を選んでみてください。,気になっていた連絡を整える,自分の感じたことをやさしく伝える,UD8×LP2×owl summer A
8,3,owl,base,A,summer,黄色,夏の青空のように、あなたの表現する力が小さな形へ広がっていきそうです。思いついた言葉やひらめきを、外へ出してみてください。,浮かんだ言葉をメモに残す,小さな発信やひとことを書いてみる,UD8×LP3×owl summer A
8,4,owl,base,A,summer,緑,夏草が根を張るように、あなたのつみ重ねる力に確かな手ごたえが生まれそうです。完璧でなくても、ひとつ整えたことが前に進む力になります。,机や予定を一か所だけ整える,今日やることを3つにしぼる,UD8×LP4×owl summer A
8,5,owl,base,A,summer,青,夏の風が背中を押すように、あなたの自由な感覚が形ある一歩へつながりそうです。小さな変化を、今日の行動にひとつ入れてみてください。,いつもと違う順番で動いてみる,予定に小さな余白を作る,UD8×LP5×owl summer A
8,6,owl,base,A,summer,ピンク,風鈴の音が続くように、あなたの優しさが無理なく続く形へ整っていきそうです。誰かのためだけでなく、自分にも手をかけてください。,自分にも小さなごほうびを用意する,引き受けていることをひとつ見直す,UD8×LP6×owl summer A
8,7,owl,base,A,summer,紺・藍色,夕立のあとの空気のように、あなたの深める力が現実の一歩へ近づいていきそうです。答えが全部出ていなくても、気づいたことを少し動かしてみてください。,気づいたことをひとつ行動にする,違和感を一行だけメモする,UD8×LP7×owl summer A
8,8,owl,base,A,summer,オレンジ・茶色,入道雲が形を作るように、あなたの力がやさしく整い、形になる流れが生まれそうです。大きな成果より、確かな一歩を大切にしてみてください。,進めたいことをひとつ実行する,優先順位を3つにしぼる,UD8×LP8×owl summer A
8,9,owl,base,A,summer,紫,夏の夕空のように、あなたの広く受けとめる力に小さな輪郭が見えてきそうです。すべてを抱えず、今できることをひとつ選んでみてください。,引き受ける範囲をひとつ決める,自分の気持ちだけを三つ書く,UD8×LP9×owl summer A
8,11,owl,base,A,summer,シルバー,蛍のひかりのように、あなたのひらめきが小さな形へ導かれていきそうです。うまく説明できなくても、感じたことをまず残してみてください。,ひらめきをひとつメモする,音や情報を少し減らす,UD8×LP11×owl summer A
8,22,owl,base,A,summer,ゴールド,青空に雲が分かれていくように、あなたの形づくる力が今日できる一歩へ整理されそうです。全部を背負わず、ひとつだけ形にしてみてください。,大きな予定をひとつ細分化する,手順や役割をひとつ整える,UD8×LP22×owl summer A
8,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い愛が無理のない形へ整っていきそうです。包む前に、自分の心にも居場所を作ってください。,自分を満たす時間を先に取る,優しさを向ける相手をひとつ選ぶ,UD8×LP33×owl summer A
9,1,owl,base,A,summer,赤,夏の夕暮れのように、あなたの始める力に少し整理する時間が訪れそうです。新しく進む前に、今の自分に必要な一歩を選んでみてください。,始めたいことをひとつにしぼる,今は休めることをひとつ決める,UD9×LP1×owl summer A
9,2,owl,base,A,summer,白,夕立のあとの空気のように、あなたの繋がる力にやさしい見直しが届きそうです。誰かを大切にしながら、自分の心も置き去りにしないでください。,無理な約束をひとつ見直す,自分の気持ちを一行だけ書く,UD9×LP2×owl summer A
9,3,owl,base,A,summer,黄色,夏の風が通るように、あなたの表現する力にやわらかな整理が運ばれてきそうです。言いきれなかった気持ちも、今日の言葉として残してみてください。,言えなかった気持ちをメモする,心に残った出来事を短く書く,UD9×LP3×owl summer A
9,4,owl,base,A,summer,緑,夏草の影が静かに伸びるように、あなたのつみ重ねる力に見直しの余白が生まれそうです。続けてきたことの中から、今の自分に合う形を選び直してみてください。,続けていることをひとつ見直す,休める予定をひとつ決める,UD9×LP4×owl summer A
9,5,owl,base,A,summer,青,夏の涼風が、あなたの自由な感覚に少し整理する風を運んでくれそうです。広がった選択肢の中から、今の自分に合うものを選んでみてください。,選択肢を三つだけ書き出す,今いらない予定をひとつ休める,UD9×LP5×owl summer A
9,6,owl,base,A,summer,ピンク,夏の夕空のように、あなたの優しさにあたたかい区切りが見えてきそうです。誰かのために抱えてきたものを、少し軽くしても大丈夫です。,引き受けていることをひとつ見直す,自分に優しい選択を書き出す,UD9×LP6×owl summer A
9,7,owl,base,A,summer,紺・藍色,夏の夜の静けさが、あなたの深める力に整理の時間をくれそうです。考えてきたことを、ひとつの気づきとして残してみてください。,考えたことを一行にまとめる,今の答えを急がず書き残す,UD9×LP7×owl summer A
9,8,owl,base,A,summer,オレンジ・茶色,入道雲がほどけるように、あなたの進める力に見直しの視点が生まれそうです。形にする前に、今ほんとうに大切なことを選んでみてください。,優先順位を見直す,続けることと休めることを分ける,UD9×LP8×owl summer A
9,9,owl,base,A,summer,紫,夏の月あかりのように、あなたの受けとめる力がやさしく整っていきそうです。すべてを抱えず、心に残したいものをひとつ選んでみてください。,残したい気持ちを一行で書く,抱えていることを少し軽くする,UD9×LP9×owl summer A
9,11,owl,base,A,summer,シルバー,蛍のひかりが静かに残るように、あなたのひらめきにやさしい余白が生まれそうです。感じたことを全部答えにせず、心に残るものだけをそっと拾ってみてください。,印象に残った感覚をメモする,音や情報を少し減らす,UD9×LP11×owl summer A
9,22,owl,base,A,summer,ゴールド,夏の空が暮れていくように、あなたの形づくる力に見直しの時間が訪れそうです。大きな構想の中から、今残したい芯をひとつ選んでみてください。,構想の大切な部分を見直す,今は休める手順をひとつ決める,UD9×LP22×owl summer A
9,33,owl,base,A,summer,レインボー,夏の月あかりのように、あなたの深い愛にやさしい境界線が生まれそうです。すべてを包もうとせず、自分の心に残すものを選んでください。,自分の心を守る選択を書く,優しさを向ける範囲を見直す,UD9×LP33×owl summer A
