No.,テンプレートID,活動カテゴリ（DiaryActionCategory）,パーソナルデイ,現在の文言,変数,表示位置,備考
22,new_challenge_4_a,new_challenge,4,今日は「4」の流れが、新しいことを形にする日。初めての経験も、少しずつ手順や土台を知ることで安心に変わっていきます。今日の挑戦は、これから続けるための基礎になります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
23,new_challenge_5_a,new_challenge,5,今日は「5」の風が、新しい体験ととても相性の良い日。いつもと違う場所や方法に触れることで、心の窓が開きやすくなります。その変化は、あなたに新しい選択肢を見せてくれます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
24,new_challenge_6_a,new_challenge,6,今日は「6」の流れが、新しいことにやさしさを添える日。自分だけでなく、誰かのためになる挑戦だったり、周りとの関係を深める経験だったかもしれません。新しさの中にも、あたたかい意味があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
25,new_challenge_7_a,new_challenge,7,今日は「7」の流れが、新しいことを深く味わわせてくれる日。表面的に楽しむだけでなく、「これは何だろう」と静かに探りたくなるような時間があったかもしれません。今日の発見は、内側に長く残ります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
26,new_challenge_8_a,new_challenge,8,今日は「8」の流れが、新しい挑戦を手ごたえに変えやすい日。動いてみたことで、できることや必要なことが現実的に見えたかもしれません。その一歩は、ちゃんと力になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
27,new_challenge_9_a,new_challenge,9,今日は「9」の流れが、新しい経験の中に区切りや整理をもたらす日。新しいことをしたことで、逆に手放すものや卒業する感覚が見えたかもしれません。次に進む準備が、静かに始まっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
28,rest_1_a,rest,1,今日は「1」の流れがありながらも、休むことで新しい力を整える日。何かを始める前には、心と体を戻す時間も必要です。今日の休息は、次の一歩のための静かな準備になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
29,rest_2_a,rest,2,今日は「2」の流れが、やさしく心をほどく日。人や出来事に敏感になりやすい分、休むことで自分の感覚を取り戻せたかもしれません。静かな時間は、心の調和を整えてくれます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
30,rest_3_a,rest,3,今日は「3」の流れがあっても、無理に楽しまなくていい日。休むことで、また自然に笑える余白が戻ってきます。今日のゆるやかな時間も、明るさを取り戻すための大切な一部です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
31,rest_4_a,rest,4,今日は「4」の流れが、体と暮らしの土台を整える日。しっかり休むことは、崩れない自分を作るための大事な作業です。何もしないように見えても、土台は静かに直されています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
32,rest_5_a,rest,5,今日は「5」の風が流れる日でも、自分のペースを取り戻す休息が必要だったのかもしれません。動き続けるだけが変化ではありません。立ち止まったことで、次に向かう方向が見えやすくなります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
33,rest_6_a,rest,6,今日は「6」のやさしさを、自分自身へ向ける日。誰かのために動く前に、自分を満たす時間が必要なこともあります。休んだ分だけ、またあたたかく関われる力が戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
34,rest_7_a,rest,7,今日は「7」の静けさが、休息とよく響き合う日。外へ向かうより、内側に戻ることで整いやすい流れです。ゆっくり過ごした時間は、心の奥を静かに満たしています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
35,rest_8_a,rest,8,今日は「8」の力を使う前に、しっかり回復する意味がある日。成果を出すためにも、エネルギーを戻す時間は欠かせません。今日の休息は、次に動くための現実的な力になります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
36,rest_9_a,rest,9,今日は「9」の流れが、手放しと休息を促す日。疲れや余計な力をゆっくり抜くことで、心の中に新しい余白が生まれます。休むことも、ひとつの区切りです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
37,organize_1_a,organize,1,今日は「1」の流れが、暮らしに新しい入口を作る日。片づけた場所には、新しい空気が入りやすくなります。整えた小さな空間が、次の始まりを受け入れる準備になります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
38,organize_2_a,organize,2,今日は「2」の流れが、身の回りと心の調和を整える日。片づけることで、気持ちのざわつきが少し静まったかもしれません。空間が整うと、心も少しやさしく呼吸できます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
39,organize_3_a,organize,3,今日は「3」の流れが、整理の中にも楽しさを見つけやすい日。色や配置、使いやすさを工夫することで、片づけが少し自分らしい表現になります。整えた場所に、明るい気配が生まれています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
40,organize_4_a,organize,4,今日は「4」の流れが、整理整頓にとてもよく合う日。暮らしの土台を整えることで、これからの毎日が少し楽になります。地味な作業でも、今日の片づけは確かな支えになります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
41,organize_5_a,organize,5,今日は「5」の流れが、空間に新しい風を入れる日。不要なものを動かしたり手放したりすることで、気分まで少し軽くなったかもしれません。整えた場所から、変化が始まります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
42,organize_6_a,organize,6,今日は「6」の流れが、心地よい場所づくりに重なる日。自分や誰かが過ごしやすくなるように整えた時間には、やさしさが宿っています。暮らしを整えることは、日々を大切にすることでもあります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
43,organize_7_a,organize,7,今日は「7」の流れが、静かな整理に向いている日。物を片づけながら、自分の内側も少し見えてきたかもしれません。何を残すかを選ぶ時間は、心を知る時間でもあります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
44,organize_8_a,organize,8,今日は「8」の流れが、整えたことを現実の手ごたえに変える日。片づいた場所は、これからの行動をスムーズにしてくれます。今日の整理は、未来の効率や豊かさにつながっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
45,organize_9_a,organize,9,今日は「9」の流れが、手放しや区切りに向いている日。片づける中で、もう十分役目を終えたものに気づいたかもしれません。手放した分だけ、新しい余白が生まれています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
46,favorite_fun_1_a,favorite_fun,1,今日は「1」の流れが、好きなことへの一歩を後押しする日。小さく始めた楽しみでも、これからの自分を明るくする入口になるかもしれません。その気持ちは、大切に育てていいものです。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
47,favorite_fun_2_a,favorite_fun,2,今日は「2」の流れが、やさしい感受性を開く日。好きなことを楽しむ中で、心がふっとほどける瞬間があったかもしれません。その穏やかな喜びは、自分との仲直りにもなっています。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
48,favorite_fun_3_a,favorite_fun,3,今日は「3」の光がよく似合う日。好き、楽しい、やってみたいという気持ちが、自然に動きやすい流れです。今日の楽しさは、ちゃんと人生の栄養になっています。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
49,favorite_fun_4_a,favorite_fun,4,今日は「4」の流れが、楽しみを形に残す日。好きなことをただ味わうだけでなく、少し整えたり続ける工夫をすると、長く支えになるかもしれません。楽しみも、育てれば立派な土台になります。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
50,favorite_fun_5_a,favorite_fun,5,今日は「5」の風が、心を自由にしてくれる日。好きなことに触れるほど、いつもの景色が少し違って見えたかもしれません。その軽やかさは、新しい自分に出会うきっかけになります。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
51,favorite_fun_6_a,favorite_fun,6,今日は「6」のぬくもりが、楽しさにやさしさを重ねる日。自分が楽しむことで、周りの空気も少しやわらいだかもしれません。喜びを分け合える時間は、長く心に残ります。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
52,favorite_fun_7_a,favorite_fun,7,今日は「7」の静けさが、好きなことを深く味わわせてくれる日。誰かに見せるためではなく、自分だけがわかる楽しさに浸る時間も大切です。その集中は、心の奥を静かに満たしてくれます。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
53,favorite_fun_8_a,favorite_fun,8,今日は「8」の力が、楽しさを手ごたえに変えやすい日。好きなことをした時間が、元気や自信として戻ってきたかもしれません。楽しむことは、あなたを前に進める現実的な力にもなります。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
54,favorite_fun_9_a,favorite_fun,9,今日は「9」の流れが、楽しさの余韻を深める日。好きなことを味わった時間の中に、これまでの自分をねぎらうような感覚があったかもしれません。今日の喜びは、静かに心の整理にもなっています。,なし,前半（ベース本文）,フォーム activityキー enjoyed → DiaryActionCategory は favorite_fun（テンプレートID接頭辞 favorite_fun_*）
