No.,テンプレートID,カテゴリ,出力条件,現在の文言,使っている変数,表示位置,備考
205,calendar_day_8_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 8,小さく動いたことも、現実を少し前へ進める力になります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 力・成果・手ごたえ・現実化
206,calendar_day_9_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 9,今日は、整理や区切りがそっと重なりやすい日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 区切り・手放し・余白
207,calendar_day_9_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 9,終わらせたことや、手放した感覚も、次へ進む準備につながっていきます。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 区切り・手放し・余白
208,special_overlap_pm_1_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 1。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「1」が重なっています。始まりや切り替えのテーマが、今日は少し近くに感じられるかもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
209,special_overlap_pm_1_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 1。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「1」で重なっています。小さな一歩が、いつもより意味を持ちやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
210,special_overlap_pm_2_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 2。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「2」が重なっています。受け取ることや、人との距離感に気づきやすい日かもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
211,special_overlap_pm_2_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 2。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「2」で重なっています。感じ取ることを、少し丁寧にしてみるとよさそうです。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
212,special_overlap_pm_3_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 3。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「3」が重なっています。楽しさや表現のテーマが、いつもより動き出しやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
213,special_overlap_pm_3_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 3。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「3」で重なっています。軽やかに過ごしたことが、次の楽しさにつながっていきます。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
214,special_overlap_pm_4_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 4。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「4」が重なっています。整えることや、形にすることが身近に感じられる日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
215,special_overlap_pm_4_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 4。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「4」で重なっています。丁寧に積み重ねたことが、今日は静かな支えになっていきます。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
216,special_overlap_pm_5_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 5。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「5」が重なっています。変化や動きのテーマを、いつもより感じやすい日かもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
217,special_overlap_pm_5_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 5。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「5」で重なっています。いつもと少し違う選択が、次の景色につながりやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
218,special_overlap_pm_6_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 6。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「6」が重なっています。やさしさや人とのつながりが、いつもより身近に感じられるかもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
219,special_overlap_pm_6_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 6。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「6」で重なっています。誰かへの思いや、自分へのケアを大切にしたい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
220,special_overlap_pm_7_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「7」が重なっています。内側を見つめる時間が、いつもより深く響きやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
221,special_overlap_pm_7_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「7」で重なっています。静かに感じたことが、あとから大切な気づきになるかもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
222,special_overlap_pm_8_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「8」が重なっています。成果や手ごたえのテーマが、現実の中で見えやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
223,special_overlap_pm_8_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「8」で重なっています。動いたことが、少しずつ形になりやすい日です。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
224,special_overlap_pm_9_1,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,今日のあなたの流れも、暦の月も、どちらも「9」が重なっています。区切りや手放しのテーマに、自然と意識が向きやすい日かもしれません。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
225,special_overlap_pm_9_2,パーソナルデイ×暦の月 重なり,personalDay === reduceToSingleDigit(calendarMonth) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日の三重一致時もこの候補プールのみ,あなたの今日と、今月の流れが「9」で重なっています。終わらせることや余韻を感じることが、今日は自然な流れになりそうです。,なし,末尾アクセント,overlapSource=personal_month。ID接頭辞 special_overlap_pm_
226,special_overlap_pd_1_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 1。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「1」が重なっています。始まりや一歩のテーマが、いつもより近くに感じられる日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
227,special_overlap_pd_1_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 1。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「1」で重なっています。小さく動いたことが、今日は意味を持ちやすいかもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
228,special_overlap_pd_2_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 2。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「2」が重なっています。受け取ることや関係性のテーマが、少し近くに感じられる日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
229,special_overlap_pd_2_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 2。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「2」で重なっています。人との距離感を、少し丁寧に見てみるとよさそうです。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
230,special_overlap_pd_3_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 3。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「3」が重なっています。楽しさや表現のテーマが、いつもより動き出しやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
231,special_overlap_pd_3_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 3。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「3」で重なっています。言葉にしたことや笑った瞬間が、心に明るさを残してくれそうです。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
232,special_overlap_pd_4_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 4。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「4」が重なっています。整えることや土台を固めることが、身近に感じられる日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
233,special_overlap_pd_4_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 4。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「4」で重なっています。丁寧に形にしたことが、今日は静かな支えになっていきます。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
234,special_overlap_pd_5_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 5。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「5」が重なっています。変化や移動のテーマが、いつもより動き出しやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
235,special_overlap_pd_5_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 5。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「5」で重なっています。いつもと少し違う動きが、次の景色につながりやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
236,special_overlap_pd_6_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 6。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「6」が重なっています。やさしさやケアのテーマが、身近に感じられるかもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
237,special_overlap_pd_6_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 6。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「6」で重なっています。誰かを思った時間や、自分をいたわった時間が、今日は大切な意味を持ちそうです。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
238,special_overlap_pd_7_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「7」が重なっています。内側を見つめる時間が、いつもより深く響きやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
239,special_overlap_pd_7_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「7」で重なっています。静かに感じたことが、今日は内側に残りやすいかもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
240,special_overlap_pd_8_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「8」が重なっています。力や手ごたえのテーマが、現実の中で見えやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
241,special_overlap_pd_8_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「8」で重なっています。動いたことが、確かな形につながりやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
242,special_overlap_pd_9_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「9」が重なっています。区切りや手放しのテーマに、自然と意識が向きやすい日かもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
243,special_overlap_pd_9_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「9」で重なっています。終わらせることや余韻を感じることが、今日は自然な流れになりそうです。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
