todayNumber,lifePathNumber,character,messageType,variant,colorName,body,action1,action2,notes
1,11,owl,base,B,シルバー,今日の「1」の空気は、あなたのひらめきに小さな行き先をくれそうです。ふと浮かんだことを、消える前にひとつ残してみてください。,直感で気になったことをメモする,静かな時間に考えを整理する,UD1×LP11×owl base variant B
1,11,owl,base,C,シルバー,今日の「1」の空気は、あなたのひらめきに小さな光を灯してくれそうです。まだ言葉にならない感覚も、消えないようにそっと残してみてください。,浮かんだ感覚を短く残す,心に残るイメージを書いてみる,UD1×LP11×owl base variant C
1,22,owl,base,A,ゴールド,今日の「1」の空気は、あなたの中にある構想を小さな始まりへ分けてくれそうです。大きく考えすぎず、今日できる一歩から形づくってみてください。,大きな予定を一段階だけ進める,最初の手順をひとつ書き出す,UD1×LP22×owl base variant A
1,22,owl,base,B,ゴールド,今日の「1」の空気は、あなたの構想に最初の小さな手順をくれそうです。大きく始めるより、今日できる一段目を決めてみてください。,最初の手順をひとつ書く,大きな予定を小さく分ける,UD1×LP22×owl base variant B
1,22,owl,base,C,ゴールド,今日の「1」の空気は、あなたの大きな構想に最初の小さな光を当ててくれそうです。まだ完成していなくても、始まりの輪郭を残してみてください。,構想の最初の一歩を書く,形にしたい理由を一行残す,UD1×LP22×owl base variant C
1,33,owl,base,A,レインボー,今日の「1」の空気は、あなたの深い優しさに新しい向け先を教えてくれそうです。誰かを包む前に、自分の心にもあたたかさを置いてください。,自分を満たす時間を先に取る,優しさを向ける相手をひとつ選ぶ,UD1×LP33×owl base variant A
1,33,owl,base,B,レインボー,今日の「1」の空気は、あなたの深い優しさに新しい向け先を見せてくれそうです。誰かを思う前に、自分の心にもあたたかさを向けてください。,自分を満たす時間を先に作る,今日届けたい優しさをひとつ選ぶ,UD1×LP33×owl base variant B
1,33,owl,base,C,レインボー,今日の「1」の空気は、あなたの深い愛に新しいめぐり方を教えてくれそうです。包み込む優しさの中に、自分をあたためる灯りも置いてください。,自分をあたためる言葉を書く,今日向けたい優しさをひとつ選ぶ,UD1×LP33×owl base variant C
2,1,owl,base,A,赤,今日の「2」の空気は、あなたの始める力にやさしい受け取り方を添えてくれそうです。ひとりで急がず、誰かの言葉にも耳を向けてみてください。,誰かの意見をひとつ聞いてみる,始めたいことをやさしく伝える,UD2×LP1×owl base variant A
2,1,owl,base,B,赤,今日の「2」の空気は、あなたの行動にやさしい確認の時間をくれそうです。ひとりで決めきらず、誰かの声も少し聞いてみてください。,迷っていることをひとつ相談する,始めたいことを短く伝えてみる,UD2×LP1×owl base variant B
2,1,owl,base,C,赤,今日の「2」の空気は、あなたのはじまりに誰かのぬくもりを添えてくれそうです。ひとりで進む道の中にも、そっと受け取れる声があるかもしれません。,心に残った言葉を書き留める,誰かに支えられたことを思い出す,UD2×LP1×owl base variant C
2,2,owl,base,A,白,今日の「2」の空気は、あなたの繋がる力をやさしく整えてくれそうです。合わせすぎず、自分の心地よさも大切にしてみてください。,無理のない距離をひとつ選ぶ,自分の気持ちを一行だけ書く,UD2×LP2×owl base variant A
2,2,owl,base,B,白,今日の「2」の空気は、あなたの繋がる力を日常の中でやさしく整えてくれそうです。無理に合わせず、心地よい距離を選んでみてください。,返信する相手をひとり選ぶ,自分の気持ちを短く書く,UD2×LP2×owl base variant B
2,2,owl,base,C,白,今日の「2」の空気は、あなたの心の距離をやさしく見つめさせてくれそうです。近づくことも、少し離れることも、大切な選択のひとつです。,心地よかった距離感を残す,自分の気持ちをそっと書く,UD2×LP2×owl base variant C
2,3,owl,base,A,黄色,今日の「2」の空気は、あなたの言葉にやわらかな響きを添えてくれそうです。楽しく話すだけでなく、相手の気持ちも受け取ってみてください。,短い感謝をひとつ伝える,聞いてうれしかった言葉を残す,UD2×LP3×owl base variant A
2,3,owl,base,B,黄色,今日の「2」の空気は、あなたの言葉にやわらかな受け取り方を添えてくれそうです。話すだけでなく、相手のひとことも大切に聞いてみてください。,相手の言葉を最後まで聞く,うれしかった一言を残す,UD2×LP3×owl base variant B
2,3,owl,base,C,黄色,今日の「2」の空気は、あなたの言葉に誰かを思うやわらかさをくれそうです。伝えたことだけでなく、受け取った言葉も今日の記録になります。,心に残った会話を書く,受け取ってうれしかった言葉を残す,UD2×LP3×owl base variant C
2,4,owl,base,A,緑,今日の「2」の空気は、あなたの毎日のつみ重ねに人とのあたたかさを運んでくれそうです。ひとりで抱えず、頼れるところを見つけてみてください。,頼めることをひとつ考える,身近な人にひとこと声をかける,UD2×LP4×owl base variant A
2,4,owl,base,B,緑,今日の「2」の空気は、あなたの毎日の中に人との安心を運んでくれそうです。ひとりで抱えず、頼れることをひとつ見つけてみてください。,頼めることをひとつ書く,身近な人に短く声をかける,UD2×LP4×owl base variant B
2,4,owl,base,C,緑,今日の「2」の空気は、あなたの日々の中に支え合うあたたかさを見せてくれそうです。ひとりで積み上げてきたものにも、誰かの優しさが混じっているかもしれません。,支えてくれた人を思い出す,安心した出来事を一行残す,UD2×LP4×owl base variant C
2,5,owl,base,A,青,今日の「2」の空気は、あなたの自由な動きに心地よい距離感を教えてくれそうです。動きたい気持ちと、誰かとの調和を両方大切にしてみてください。,予定をひとつ相談して決める,ひとり時間と人との時間を分ける,UD2×LP5×owl base variant A
2,5,owl,base,B,青,今日の「2」の空気は、あなたの自由な動きにほどよい調和をくれそうです。自分のペースを守りながら、人との予定もやさしく整えてみてください。,予定をひとつ相談して決める,ひとり時間を少し確保する,UD2×LP5×owl base variant B
2,5,owl,base,C,青,今日の「2」の空気は、あなたの自由な心にやさしいつながりを思い出させてくれそうです。自由でいることと、大切な人と繋がることは、どちらも選んでいいものです。,心地よい関係をひとつ思い出す,自分のペースを守れたことを書く,UD2×LP5×owl base variant C
2,6,owl,base,A,ピンク,今日の「2」の空気は、あなたの優しさをよりあたたかく巡らせてくれそうです。誰かを思う気持ちと同じくらい、自分もいたわってください。,自分にも優しい言葉をかける,誰かへの気づかいを小さく届ける,UD2×LP6×owl base variant A
2,6,owl,base,B,ピンク,今日の「2」の空気は、あなたの優しさを日常の小さな場面でめぐらせてくれそうです。相手を思う分だけ、自分にもやさしい選択をしてください。,自分にも優しい言葉をかける,身近な人にひとこと届ける,UD2×LP6×owl base variant B
2,6,owl,base,C,ピンク,今日の「2」の空気は、あなたの優しさを静かに受けとめ直す時間をくれそうです。誰かに向けたあたたかさが、自分にも戻ってくる日かもしれません。,優しさを受け取った場面を書く,自分にも向けたい言葉を残す,UD2×LP6×owl base variant C
2,7,owl,base,A,紺・藍色,今日の「2」の空気は、あなたの深く見つめる力にやさしい対話を運んでくれそうです。考えを閉じ込めず、信頼できる人に少し話してみてください。,考えていることを一言だけ話す,心に残った会話をメモする,UD2×LP7×owl base variant A
2,7,owl,base,B,紺・藍色,今日の「2」の空気は、あなたの考える力にやさしい対話のきっかけをくれそうです。心の中だけで抱えず、話せることを少し外に出してみてください。,考えていることを一言だけ話す,心に残った会話をメモする,UD2×LP7×owl base variant B
2,7,owl,base,C,紺・藍色,今日の「2」の空気は、あなたの静かな気づきに対話の灯りをともしてくれそうです。誰かの言葉が、心の奥にある答えを照らしてくれるかもしれません。,心に残った会話を振り返る,気づいたことを一行残す,UD2×LP7×owl base variant C
2,8,owl,base,A,オレンジ・茶色,今日の「2」の空気は、あなたの進める力に人との調和を添えてくれそうです。ひとりで形にしようとせず、協力できる流れを探してみてください。,相談したいことをひとつ整理する,協力してもらえることを考える,UD2×LP8×owl base variant A
2,8,owl,base,B,オレンジ・茶色,今日の「2」の空気は、あなたの進める力に協力の流れをくれそうです。ひとりで形にしようとせず、相談できる部分を探してみてください。,相談したいことを整理する,協力してもらえることを考える,UD2×LP8×owl base variant B
2,8,owl,base,C,オレンジ・茶色,今日の「2」の空気は、あなたの力に人と分け合うやさしさを添えてくれそうです。ひとりで抱えていたものも、少し渡すことで形が見えやすくなります。,分け合えそうなことを書く,頼れたことや頼りたいことを残す,UD2×LP8×owl base variant C
2,9,owl,base,A,紫,今日の「2」の空気は、あなたの広く受けとめる力をやさしく整えてくれそうです。全部を抱えず、今つながりたい相手をひとり選んでみてください。,気になる人へ短く連絡する,抱えている思いをひとつ書く,UD2×LP9×owl base variant A
2,9,owl,base,B,紫,今日の「2」の空気は、あなたの受けとめる力に心地よい繋がりを運んでくれそうです。全部に応えようとせず、今つながりたい相手を選んでみてください。,気になる人へ短く連絡する,抱えている思いをひとつ書く,UD2×LP9×owl base variant B
2,9,owl,base,C,紫,今日の「2」の空気は、あなたの広い心にやさしいつながりの輪郭をくれそうです。すべてを抱きしめるより、今大切にしたい関係をそっと選んでみてください。,大切にしたい関係を思い出す,心に残った人のことを書く,UD2×LP9×owl base variant C
2,11,owl,base,A,シルバー,今日の「2」の空気は、あなたの繊細なひらめきにやさしい受け皿を作ってくれそうです。感じたことを急いで答えにせず、そっと受けとめてみてください。,感じたことを短くメモする,静かな相手と少し話してみる,UD2×LP11×owl base variant A
2,11,owl,base,B,シルバー,今日の「2」の空気は、あなたのひらめきにやさしく受けとめる時間をくれそうです。すぐに答えにせず、感じたことを静かに置いてみてください。,感じたことを短くメモする,静かな人と少し話してみる,UD2×LP11×owl base variant B
2,11,owl,base,C,シルバー,今日の「2」の空気は、あなたの繊細な感覚に静かな受け皿を作ってくれそうです。ふと感じたことを、誰かの言葉と重ねて見つめてみてください。,印象に残った言葉を残す,感じたことを静かに書く,UD2×LP11×owl base variant C
2,22,owl,base,A,ゴールド,今日の「2」の空気は、あなたの形づくる力に人との協力を運んでくれそうです。大きな構想も、誰かと分け合うことで進みやすくなります。,相談したい相手を書き出す,役割や手順をひとつ分けてみる,UD2×LP22×owl base variant A
2,22,owl,base,B,ゴールド,今日の「2」の空気は、あなたの形づくる力に協力の入口を見せてくれそうです。大きな構想も、誰かと分け合える形に整えてみてください。,相談したい相手を書き出す,役割をひとつ分けてみる,UD2×LP22×owl base variant B
2,22,owl,base,C,ゴールド,今日の「2」の空気は、あなたの構想に人と支え合う景色を見せてくれそうです。大きな形は、ひとりではなく、誰かとのつながりの中で育つこともあります。,一緒に進めたい人を思い出す,分け合いたい役割を書いてみる,UD2×LP22×owl base variant C
2,33,owl,base,A,レインボー,今日の「2」の空気は、あなたの深い優しさに心地よい距離を教えてくれそうです。包み込む前に、自分の気持ちも静かに聞いてあげてください。,自分の本音を一行だけ書く,無理なく関われる距離を選ぶ,UD2×LP33×owl base variant A
2,33,owl,base,B,レインボー,今日の「2」の空気は、あなたの深い優しさに心地よい距離感を教えてくれそうです。包み込む前に、自分の本音にも静かに耳を向けてください。,自分の本音を一行書く,無理なく関われる距離を選ぶ,UD2×LP33×owl base variant B
2,33,owl,base,C,レインボー,今日の「2」の空気は、あなたの深い愛にやさしい境界線を描いてくれそうです。包み込むだけでなく、寄り添える距離を選ぶことも愛の形です。,大切にしたい距離感を書く,自分の心が安心する関わりを選ぶ,UD2×LP33×owl base variant C
3,1,owl,base,A,赤,今日の「3」の空気は、あなたの始める力に明るい言葉を添えてくれそうです。思いついたことを、まずは小さく外に出してみてください。,やってみたいことを一言で書く,小さな発信をひとつしてみる,UD3×LP1×owl base variant A
3,1,owl,base,B,赤,今日の「3」の空気は、あなたの行動に言葉の明るさを添えてくれそうです。やってみたいことを、まずは誰かに話すか、短く書いてみてください。,やってみたいことを一言で書く,思いついたことを誰かに話す,UD3×LP1×owl base variant B
3,1,owl,base,C,赤,今日の「3」の空気は、あなたのはじまりに小さな言葉の光を添えてくれそうです。まだ動き出す前の気持ちも、書き残せば今日の大切な一歩になります。,始めたい気持ちを一行残す,心が動いた言葉を書いてみる,UD3×LP1×owl base variant C
3,2,owl,base,A,白,今日の「3」の空気は、あなたのやさしい気持ちを言葉にしやすくしてくれそうです。相手に合わせるだけでなく、自分の思いも少し伝えてみてください。,ありがとうを短く伝える,感じたことをやさしく言葉にする,UD3×LP2×owl base variant A
3,2,owl,base,B,白,今日の「3」の空気は、あなたの繋がる力にやわらかな会話を運んでくれそうです。気をつかいすぎず、感じたことを少し言葉にしてみてください。,ありがとうを短く伝える,感じたことをやさしく話す,UD3×LP2×owl base variant B
3,2,owl,base,C,白,今日の「3」の空気は、あなたのやさしい心に伝えるあたたかさをくれそうです。言えたことも、言えなかったことも、今日の心の記録になります。,伝えたかった言葉を書く,心に残った会話を振り返る,UD3×LP2×owl base variant C
3,3,owl,base,A,黄色,今日の「3」の空気は、あなたの表現する力を自然にひらいてくれそうです。うまくまとめなくても、心が動いたことを残してみてください。,心に浮かんだ言葉を残す,楽しかったことをひとつ書く,UD3×LP3×owl base variant A
3,3,owl,base,B,黄色,今日の「3」の空気は、あなたの表現する力を日常の中で自然にひらいてくれそうです。きれいにまとめなくても、心が動いたことを残してみてください。,今日楽しかったことを書く,浮かんだ言葉をそのまま残す,UD3×LP3×owl base variant B
3,3,owl,base,C,黄色,今日の「3」の空気は、あなたの心に浮かぶものをそっと表へ出してくれそうです。うまく言えない気持ちも、そのまま残せばあなたらしい表現です。,今日の気分を一言で書く,心に浮かんだ言葉を残す,UD3×LP3×owl base variant C
3,4,owl,base,A,緑,今日の「3」の空気は、あなたの毎日の中に小さな楽しさを見つけてくれそうです。整えるだけでなく、心が軽くなることもひとつ入れてみてください。,予定の中に楽しみをひとつ入れる,今日よかったことを一行書く,UD3×LP4×owl base variant A
3,4,owl,base,B,緑,今日の「3」の空気は、あなたの毎日に小さな楽しさを足してくれそうです。やるべきことの中にも、少し心が軽くなる時間を入れてみてください。,予定の中に楽しみをひとつ入れる,今日よかったことを一行書く,UD3×LP4×owl base variant B
3,4,owl,base,C,緑,今日の「3」の空気は、あなたの毎日の中にある小さな明るさを見つけてくれそうです。何気ない楽しさも、あとから読み返すと大切な記録になります。,小さく笑えたことを書く,今日の中の明るさを探す,UD3×LP4×owl base variant C
3,5,owl,base,A,青,今日の「3」の空気は、あなたの自由な感覚を軽やかに表へ出してくれそうです。いつもより少し、楽しい方を選んでみてください。,気になる場所へ少し寄ってみる,楽しいと思う選択をひとつする,UD3×LP5×owl base variant A
3,5,owl,base,B,青,今日の「3」の空気は、あなたの自由な感覚を軽やかに外へ出してくれそうです。思いついたことを、深く考えすぎず少し試してみてください。,気になることを軽く試す,楽しい方をひとつ選ぶ,UD3×LP5×owl base variant B
3,5,owl,base,C,青,今日の「3」の空気は、あなたの自由な心に軽やかな色を添えてくれそうです。理由はなくても、少し楽しいと感じたことを大切にしてみてください。,心が軽くなった瞬間を書く,今日選んだ楽しい方を残す,UD3×LP5×owl base variant C
3,6,owl,base,A,ピンク,今日の「3」の空気は、あなたの優しさをあたたかい言葉に変えてくれそうです。誰かへのひとことと同じくらい、自分にも明るい言葉を向けてください。,自分をほめる言葉をひとつ書く,身近な人にやさしい一言を送る,UD3×LP6×owl base variant A
3,6,owl,base,B,ピンク,今日の「3」の空気は、あなたの優しさをあたたかい言葉にしやすくしてくれそうです。誰かへのひとことと同じくらい、自分にも明るい言葉を向けてください。,身近な人に一言送る,自分をほめる言葉を書く,UD3×LP6×owl base variant B
3,6,owl,base,C,ピンク,今日の「3」の空気は、あなたの優しさを言葉のぬくもりに変えてくれそうです。誰かに向けた言葉の奥に、自分の心もそっと映っているかもしれません。,あたたかい言葉を一つ残す,自分にかけたい言葉を書く,UD3×LP6×owl base variant C
3,7,owl,base,A,紺・藍色,今日の「3」の空気は、あなたの深い気づきを言葉にする手助けをしてくれそうです。考えたことを、まだ途中のままでも残してみてください。,考え中のことを一行だけ書く,心に残った言葉を調べてみる,UD3×LP7×owl base variant A
3,7,owl,base,B,紺・藍色,今日の「3」の空気は、あなたの考えていることを言葉にするきっかけをくれそうです。まだ途中の気づきでも、短く残してみると整理しやすくなります。,考え中のことを一行書く,心に残った言葉を調べる,UD3×LP7×owl base variant B
3,7,owl,base,C,紺・藍色,今日の「3」の空気は、あなたの静かな気づきに言葉の入口を作ってくれそうです。まだ答えにならない思いも、書くことで少し輪郭が見えてきます。,気づきかけたことを書く,心に残った理由を考える,UD3×LP7×owl base variant C
3,8,owl,base,A,オレンジ・茶色,今日の「3」の空気は、あなたの形にする力に表現の明るさを添えてくれそうです。進めたいことを、まずは言葉にして外へ出してみてください。,やりたいことを短く宣言する,進めたい内容をメモにまとめる,UD3×LP8×owl base variant A
3,8,owl,base,B,オレンジ・茶色,今日の「3」の空気は、あなたの進める力に伝える力を添えてくれそうです。進めたいことを、まずは言葉にして見える形にしてみてください。,やりたいことを短く書く,進めたい内容をメモにまとめる,UD3×LP8×owl base variant B
3,8,owl,base,C,オレンジ・茶色,今日の「3」の空気は、あなたの力に伝えるための明るさを添えてくれそうです。形にしたい思いを言葉にすると、次の一歩が見えやすくなります。,形にしたい思いを書く,伝えたいことを一行にする,UD3×LP8×owl base variant C
3,9,owl,base,A,紫,今日の「3」の空気は、あなたの広い心にやわらかな表現を運んでくれそうです。抱えていた思いを、少し軽い言葉にしてみてください。,心に残ったことを短く書く,重い気持ちを一言だけ外に出す,UD3×LP9×owl base variant A
3,9,owl,base,B,紫,今日の「3」の空気は、あなたの受けとめる力にやわらかな表現を運んでくれそうです。抱えていた思いを、少し軽い言葉にして外へ出してみてください。,心に残ったことを短く書く,重い気持ちを一言だけ出す,UD3×LP9×owl base variant B
3,9,owl,base,C,紫,今日の「3」の空気は、あなたの広い心にやわらかな言葉を運んでくれそうです。抱えていたものを少し言葉にするだけで、心に余白が生まれるかもしれません。,抱えていた思いを書く,少し軽くなる言葉を探す,UD3×LP9×owl base variant C
3,11,owl,base,A,シルバー,今日の「3」の空気は、あなたのひらめきを言葉や表現にしやすくしてくれそうです。ふと浮かんだことを、消える前に残してみてください。,ひらめきをすぐメモする,浮かんだイメージを言葉にする,UD3×LP11×owl base variant A
3,11,owl,base,B,シルバー,今日の「3」の空気は、あなたのひらめきを言葉にしやすくしてくれそうです。ふと浮かんだ感覚を、消える前にメモしてみてください。,ひらめきをすぐメモする,浮かんだイメージを言葉にする,UD3×LP11×owl base variant B
3,11,owl,base,C,シルバー,今日の「3」の空気は、あなたのひらめきに表現の小さな扉を開いてくれそうです。説明できない感覚も、今だけの大切なサインとして残してみてください。,浮かんだイメージを書く,印象に残った感覚を残す,UD3×LP11×owl base variant C
3,22,owl,base,A,ゴールド,今日の「3」の空気は、あなたの形づくる力に伝える力を添えてくれそうです。大きな構想も、まずはわかりやすい言葉にしてみてください。,考えていることを短く説明する,伝えたい相手をひとり決める,UD3×LP22×owl base variant A
3,22,owl,base,B,ゴールド,今日の「3」の空気は、あなたの構想に伝わる言葉を添えてくれそうです。大きな考えも、まずは短く説明できる形にしてみてください。,考えていることを短く説明する,伝えたい相手をひとり決める,UD3×LP22×owl base variant B
3,22,owl,base,C,ゴールド,今日の「3」の空気は、あなたの構想に人へ届く言葉を見つけてくれそうです。大きな形になる前のひとことにも、未来の種が入っているかもしれません。,構想を一言で書いてみる,誰に届けたいかを残す,UD3×LP22×owl base variant C
3,33,owl,base,A,レインボー,今日の「3」の空気は、あなたの深い優しさをあたたかい表現へ導いてくれそうです。誰かを包む言葉と同じくらい、自分にもやさしい言葉を残してください。,自分へのやさしい言葉を書く,大切な人へ短い言葉を届ける,UD3×LP33×owl base variant A
3,33,owl,base,B,レインボー,今日の「3」の空気は、あなたの深い優しさをあたたかい表現へ導いてくれそうです。誰かを包む言葉と同じくらい、自分にもやさしい言葉を残してください。,自分へのやさしい言葉を書く,大切な人へ短い言葉を届ける,UD3×LP33×owl base variant B
3,33,owl,base,C,レインボー,今日の「3」の空気は、あなたの深い愛にあたたかな言葉の灯りをともしてくれそうです。誰かを照らす言葉と同じように、自分を照らす言葉も大切にしてください。,自分を照らす言葉を書く,大切な人へ届けたい言葉を残す,UD3×LP33×owl base variant C
4,1,owl,base,A,赤,今日の「4」の空気は、あなたの始める力に安心できる土台を添えてくれそうです。勢いだけで進まず、最初の一歩を少し整えてみてください。,始めたいことの手順をひとつ書く,今日やることをひとつ決める,UD4×LP1×owl base variant A
4,1,owl,base,B,赤,今日の「4」の空気は、あなたの行動に落ち着いた準備を添えてくれそうです。勢いで始める前に、最初の手順をひとつ整えてみてください。,始めたいことの手順を書く,今日やることをひとつ決める,UD4×LP1×owl base variant B
4,1,owl,base,C,赤,今日の「4」の空気は、あなたのはじまりに静かな土台を作ってくれそうです。小さく整えた準備が、これからの一歩を支えてくれるかもしれません。,始める前に整えたことを書く,今日の小さな準備を残す,UD4×LP1×owl base variant C
4,2,owl,base,A,白,今日の「4」の空気は、あなたの繋がる力に安心できる距離感をくれそうです。誰かに合わせすぎず、無理なく続く関わり方を選んでみてください。,連絡したい相手をひとり選ぶ,無理のない予定に整える,UD4×LP2×owl base variant A
4,2,owl,base,B,白,今日の「4」の空気は、あなたの繋がる力に安心できる形をくれそうです。無理に合わせず、続けやすい関わり方を選んでみてください。,予定や連絡をひとつ整える,心地よい距離を決めてみる,UD4×LP2×owl base variant B
4,2,owl,base,C,白,今日の「4」の空気は、あなたの繋がりに安心できる輪郭をくれそうです。無理なく続く距離には、静かな優しさが宿っています。,安心できた関わりを書く,心地よい距離感を残す,UD4×LP2×owl base variant C
